Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
FAM209B,0.000244721754966859,0.0004203189816118999,True
STX3,4.266554220082708e-11,1.6577760717932698e-10,True
PPP3CB,1.2839555800702908e-08,3.565969878732199e-08,True
SCAMP3,1.5451678232582936e-07,3.7975208631081264e-07,True
KBTBD6,3.172980118749997e-05,6.037364418042317e-05,True
CCDC108,2.804579160892723e-11,1.118965741897387e-10,True
TNNT1,1.2586255719879269e-10,4.532204737894075e-10,True
CAPN12,0.02248904440355342,0.03038610540874621,True
HRCT1,1.8331614805375883e-15,1.9536005290738335e-14,True
G0S2,1.64137984341462e-07,4.0177456830562143e-07,True
GNA11,1.8805944429290508e-10,6.608476200488071e-10,True
PRSS57,4.371270945503383e-12,2.010482044291026e-11,True
SH3BGRL3,0.0017681177565986941,0.0027600409464773592,True
SLC39A3,0.025719233697063984,0.03443031993451428,True
ZNF48,0.007023195656428183,0.01016083914019464,True
COL16A1,0.005181235044327585,0.007621409689267629,True
RETSAT,3.5733048027960103e-12,1.6703997563882385e-11,True
IARS,1.20565937287674e-12,6.135782324362559e-12,True
LRBA,0.007396733913449447,0.010658873736639908,True
COASY,2.7608502221577344e-15,2.740484764559796e-14,True
ACSM3,1.6728051492762576e-11,6.908369341082322e-11,True
KDM1A,7.72016723975987e-17,1.885291504494391e-15,True
LRRC1,2.4121158949189023e-10,8.370691459366019e-10,True
