Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
ZNF551,3.3651326713047556e-07,9.624613724634047e-07,True
FAM211A,2.6223561767083026e-05,5.3610891068208196e-05,True
SEL1L,0.002638429681386069,0.004055781522152015,True
RRM1,7.556929455863566e-10,1.093136886055739e-08,True
BICD2,1.2298152190805743e-06,3.1371910675748555e-06,True
DLAT,0.019150523176083956,0.02629144781585078,True
CCL4,9.168574321927343e-07,2.395449507127871e-06,True
PSORS1C2,5.484881098714021e-07,1.5087789965013487e-06,True
ATP6V1G2-DDX39B,1.6442621929354076e-06,4.101751535445367e-06,True
SLC25A23,2.228554183152968e-09,1.5091443949026863e-08,True
AL357673.1,0.006973829264546701,0.010150214891317235,True
AXIN2,1.4171696914869546e-08,6.131131084507173e-08,True
CHRNA4,0.00019048044985506342,0.00034391197441954643,True
RGS9BP,8.019323247641967e-06,1.7820017233173017e-05,True
PAPOLA,2.218010774931945e-08,8.77401789259202e-08,True
SLC44A4,1.3025210640480111e-09,1.1301381909306577e-08,True
STMN1,1.0872449061578735e-09,1.093136886055739e-08,True
GAREML,9.634403725281619e-10,1.093136886055739e-08,True
C19orf81,0.004952445765450434,0.0073392382772717035,True
TLX2,2.3962183413489917e-09,1.5870168151122476e-08,True
RGS9,5.866171908820745e-07,1.5963786976193822e-06,True
RTKN2,7.556929455863566e-10,1.093136886055739e-08,True
KL,8.031090907046913e-10,1.093136886055739e-08,True
HERC6,4.859078360567124e-06,1.1210013178258155e-05,True
CLEC4G,0.002475641938757601,0.00381913864011766,True
FUT5,0.01644711073792131,0.022780936337202583,True
BMP6,1.1913151364582724e-07,3.797042247659899e-07,True
PIGM,0.0033921289197132603,0.005131263317692344,True
NIT2,1.9791055568801153e-09,1.4011905120944259e-08,True
NDC1,7.556929455863566e-10,1.093136886055739e-08,True
C1orf186,4.0375392997249546e-06,9.431844679208734e-06,True
C11orf87,0.009223241566918363,0.013224725935301686,True
ATG7,9.002403196420849e-09,4.288927612194433e-08,True
TEAD3,7.160522709164976e-07,1.908036862576353e-06,True
CTRB2,0.0023886555962415374,0.003695175555213805,True
CCL2,3.835908666400679e-05,7.647382244393027e-05,True
PCDHGB3,6.394483073164434e-06,1.4454945706479403e-05,True
FEZ1,2.022287548102613e-05,4.2120831195409494e-05,True
NDUFA10,1.4943422351077606e-05,3.1783476497193553e-05,True
SLC23A2,0.0012420629369640991,0.0019946131528062617,True
TNNI2,1.3394511022385218e-08,5.886293002078469e-08,True
RPS18,0.008053347429558405,0.011632238866690757,True
GPAT2,2.0893271788382714e-06,5.108722861207521e-06,True
BBS1,5.046628361210057e-07,1.39488807903846e-06,True
SCN7A,7.556929455863566e-10,1.093136886055739e-08,True
PAGR1,8.02029719177541e-06,1.7820017233173017e-05,True
C6orf165,2.6045288894507434e-07,7.664946603962793e-07,True
C1orf35,1.9791055568801153e-09,1.4011905120944259e-08,True
NGFRAP1,0.014400842176559257,0.0200981215543756,True
ALOXE3,3.553965267974363e-09,2.107678486408228e-08,True
MT-CO3,0.0014689163506685506,0.0023370353617424215,True
DHX34,1.4685612927356851e-09,1.1838262404110574e-08,True
ASB4,6.394483073164434e-06,1.4454945706479403e-05,True
RCSD1,8.53422673646545e-10,1.093136886055739e-08,True
NPEPPS,1.810099071924746e-06,4.482434269997132e-06,True
FAM19A1,1.492662932669305e-06,3.7544377626949558e-06,True
XPA,0.0065797443261267725,0.009608206528642433,True
HOOK1,0.00012943824374041834,0.00023884273238792213,True
ELTD1,7.556929455863566e-10,1.093136886055739e-08,True
SYNDIG1,2.4766331223196484e-06,6.004749079027639e-06,True
IMPG1,1.0036990158048848e-05,2.19146871815336e-05,True
PCDHGA12,1.4992617020836475e-08,6.406071210362357e-08,True
TRIM16L,3.091834047007052e-08,1.1664431789047133e-07,True
B4GALNT3,0.004080760905260814,0.006111942486421065,True
FAM228B,1.5496795271408795e-07,4.799339159440426e-07,True
KNTC1,8.53422673646545e-10,1.093136886055739e-08,True
USP45,0.00022216596965950796,0.0003965609760144658,True
ZMIZ1,6.394483073164434e-06,1.4454945706479403e-05,True
FAM214B,8.02029719177541e-06,1.7820017233173017e-05,True
CCIN,2.8458078856380264e-08,1.0912615144150257e-07,True
SLC7A7,1.0872449061578735e-09,1.093136886055739e-08,True
HCFC2,1.9791055568801153e-09,1.4011905120944259e-08,True
HAS2,0.008286402940597707,0.011946887898416407,True
GGT7,0.026075818818549916,0.03509073538135466,True
FAM110D,7.556929455863566e-10,1.093136886055739e-08,True
ANKIB1,5.210085375739284e-07,1.4382266677196569e-06,True
CBX2,8.031090907046913e-10,1.093136886055739e-08,True
LGI2,0.005596907734010681,0.00824337804629845,True
CHPF2,1.940965174176652e-05,4.045629027980413e-05,True
TMEM205,1.4119532304343919e-05,3.0183754554825044e-05,True
CHAF1A,9.06805772149548e-10,1.093136886055739e-08,True
ZNF70,0.02243034441503315,0.030463113479046403,True
GCLM,2.8863964852459415e-07,8.40143206109918e-07,True
ZDHHC11,0.0021080676979184686,0.003282573416399995,True
MOXD1,0.020253755177481125,0.027687237531928973,True
CALCOCO2,9.634403725281619e-10,1.093136886055739e-08,True
FAM129A,7.4204957343550715e-06,1.661556238638806e-05,True
FTSJ1,3.1749592482457436e-09,1.9449440075689794e-08,True
IGF1R,1.1962409574708818e-08,5.3773256675278386e-08,True
MAP2,0.0017333096381814846,0.002731271002424988,True
SNX12,0.0012043647625355777,0.0019371882004471234,True
MAP7D1,8.02029719177541e-06,1.7820017233173017e-05,True
KCTD10,1.6551652076305667e-09,1.259602597436918e-08,True
SLC15A1,1.0870035830988515e-09,1.093136886055739e-08,True
ORMDL3,9.002403196420849e-09,4.288927612194433e-08,True
BCL2L10,1.0235189212610724e-09,1.093136886055739e-08,True
ATP1B2,1.382811416141004e-09,1.150375790350476e-08,True
FKSG62,9.719597922398939e-05,0.00018324353826196842,True
BRSK2,0.03329167897540818,0.044086911023394126,True
CA2,0.000115029232886914,0.00021412820938719498,True
CALD1,0.0003115529890217856,0.0005444141093820905,True
CASP7,5.1316124816357114e-05,0.00010034933848795214,True
BDNF,1.8989320193738752e-06,4.68027545080378e-06,True
MAST1,1.0870035830988515e-09,1.093136886055739e-08,True
FLYWCH1,0.0016771655501775634,0.0026493265251753303,True
TRPC4,0.0025558507854940384,0.003935846168604877,True
SLMAP,0.00020197452389497924,0.00036322193423753553,True
ATP1A2,1.9791055568801153e-09,1.4011905120944259e-08,True
SLAMF1,0.0005673994129977054,0.0009566489224609954,True
ATPAF1,0.01688572946162479,0.02334728481267554,True
VAMP2,7.556929455863566e-10,1.093136886055739e-08,True
CLLU1OS,0.00023906833611263913,0.00042567568607976096,True
WDR3,3.784971871143241e-09,2.203754266059976e-08,True
TMEM47,7.555220876380673e-10,1.093136886055739e-08,True
CTNND1,0.037163967421918735,0.04889250911687199,True
KCNIP1,9.000621086477699e-09,4.288927612194433e-08,True
STK4,2.4096796563214802e-06,5.8432363928907315e-06,True
FAM167B,7.556929455863566e-10,1.093136886055739e-08,True
CD53,8.031090907046913e-10,1.093136886055739e-08,True
ASPA,7.556929455863566e-10,1.093136886055739e-08,True
SPRED2,0.00028917828473891855,0.0005075236075246184,True
ABCC5,1.2265120486349766e-09,1.1075794898154324e-08,True
NOP56,1.8648014196095014e-09,1.3529796104054656e-08,True
C5orf27,0.0005291535805557223,0.0008961011767571908,True
ARHGEF39,8.031090907046913e-10,1.093136886055739e-08,True
PSMC5,5.338408233963986e-08,1.873601509807106e-07,True
